,User,Tweet
46,TIME,"“I made very clear to him that China sending its surveillance balloon over the United States in violation of our sovereignty, in violation of international law, was unacceptable...,” Blinken said Saturday https://t.co/Nzk4MPL4wM"
47,TIME,Here are 9 tips for getting more steps in 👟 https://t.co/dCGdmatDsl
48,TIME,"""We're tweeting for the sake of tweeting, talking for the sake of talking,"" writes Dan Lyons.

""Yet many of the most successful people do the opposite. Instead of seeking attention, they hold back. When they do speak, they're careful about what they say"" https://t.co/xDNgdgCO8K"
49,TIME,"The pandemic has shifted the way people work. In some cases, it's led to the creation of new jobs altogether https://t.co/XtHSArQc88"
50,TIME,Here's how to find a therapist who's right for you https://t.co/1Oq26rVuUO
51,TIME,"What time you eat doesn't matter for weight loss, study finds https://t.co/7R2DEzlId7"
52,TIME,Here are eight ways to practice mindfulness if meditation isn't your thing https://t.co/2TlM7uQo2s
53,TIME,"CEO pay was up 21% in 2022.

These are the most overpaid CEOs, according to a shareholder advocacy group https://t.co/RsRr5vz16X"
54,TIME,"""Parents, tell your kids they can't have social media until they are 16—or at all."" 

📝 Jean M. Twenge https://t.co/EoVqlwo0Es"
55,TIME,"""The lack of access to clean drinking water, sanitary bathrooms, and treated wastewater is an ongoing emergency for many parts of the U.S."" 

📝 Bryn Nelson (@SeattleBryn) https://t.co/98OR35H7lt"
56,TIME,"Tech companies are moving fast on AI. That could prove catastrophic
https://t.co/5b9ok3Il5m"
57,TIME,"When stressful challenges become toxic, they can have profound effects on our life expectancy, write Tamen Jadad-Garcia and Dr. Alex Jadad https://t.co/lSZZ7Qyj0i"
58,TIME,"After a long but well-deserved hiatus, @paramore finally regrouped to release their sixth studio album.

They talked about the lessons they learned from previous records and how their old music influenced ""This Is Why"" https://t.co/fFdKC2f0Rs"
59,TIME,"Should we stop building roads to combat climate change? 

This country thinks so https://t.co/1ozSvqxQer"
60,TIME,"""Cow burps have a big climate impact. Solving that is harder than you'd think,"" writes Joseph W. McFadden https://t.co/WlL3NMW4bV https://t.co/fniuUC93do"
61,TIME,"""At work today, we are too unwell, too anxious, and too overwhelmed"" https://t.co/AZiX6NODbs"
62,TIME,Take these steps to become a morning person https://t.co/YwvTvfsdvk
63,TIME,"""Material items can make us feel good. But by only focusing on what makes us feel good, we bypass real, sustainable happiness and settle for fleeting pleasure,"" writes Jenn Lim (@byjennlim) https://t.co/YTst3TLyS1"
